EEGFp1_REF,EEGFp2_REF,EEGF3_REF,EEGF4_REF,EEGC3_REF,EEGC4_REF,EEGP3_REF,EEGP4_REF,EEGO1_REF,EEGO2_REF,EEGF7_REF,EEGF8_REF,EEGT3_REF,EEGT4_REF,EEGT5_REF,EEGT6_REF,EEGCz_REF
21.5184,24.1124,-37.0753,-62.5575,-57.3695,-67.7455,-61.3368,-87.42929,-97.65267,-122.3719,-66.67736,-67.8981,-37.8383,-80.71543,-87.12412,-95.82162,-46.8409
19.077,19.8399,-39.8219,-68.9662,-59.5057,-69.8817,-58.4376,-84.53013,-92.3121,-105.2821,-69.72911,-70.3395,-41.9581,-97.95785,-87.88706,-95.21127,-51.266
16.0252,23.3494,-41.3478,-66.067,-60.5738,-68.5084,-56.9117,-77.51109,-78.5792,-83.00425,-71.56016,-66.5248,-41.0426,-100.3993,-80.71543,-88.95517,-54.1652
17.8563,31.284,-39.8219,-56.7592,-57.9799,-66.2196,-56.1488,-73.08604,-64.99889,-64.54113,-71.86534,-58.8954,-34.6339,-68.661,-69.8817,-75.68003,-52.6393
15.8726,29.4529,-46.9935,-57.3695,-64.6937,-72.6283,-67.1351,-79.95249,-67.13512,-62.4049,-77.81626,-59.048,-24.7157,-48.06165,-65.45665,-68.35582,-59.048
11.1424,30.0633,-55.5384,-63.9308,-77.0533,-78.1214,-80.4103,-88.34482,-75.52745,-69.57652,-83.46201,-62.4049,-31.7348,-70.03429,-67.89806,-70.64464,-67.8981
12.6683,34.3357,-57.0643,-69.1188,-81.9361,-77.8163,-83.7672,-92.00693,-79.64732,-78.42661,-82.3939,-64.5411,-46.9935,-84.22495,-71.71275,-71.56016,-70.4921
16.483,27.6219,-57.9799,-75.0697,-80.5628,-79.1896,-81.631,-96.27938,-85.29306,-93.5328,-81.47837,-68.5084,-49.7401,-73.23863,-75.83262,-73.39122,-70.7972
16.483,22.2813,-57.2169,-75.9852,-74.6119,-78.4266,-75.9852,-99.02596,-94.14315,-113.5218,-83.30942,-70.9498,-46.9935,-82.69907,-79.03697,-86.81894,-66.3722
15.4149,27.0115,-52.1815,-69.8817,-68.5084,-74.3067,-70.6446,-100.857,-103.2984,-132.7479,-85.14048,-73.3912,-50.5031,-106.1976,-84.07236,-104.9769,-58.7428
